content_id,risk_score,reason_code,impressions_prev_30d,avg_position,days_since_last_update,is_declining_label
content_b45d669ab808,1.0,weak_position,1,15.3,8,0
content_a92a865a4c04,1.0,weak_position,6902,33.8,20,1
content_1cc2d0c15fc6,1.0,standard_review,74,8.1,20,1
content_f2e20dd8d68b,1.0,weak_position,7,12.8,8,1
content_9f8d03f1eddd,1.0,weak_position,430,21.5,20,0
content_04b4f4c5b620,1.0,standard_review,414,5.4,20,0
content_53eb22c87e56,1.0,standard_review,224,3.8,20,0
content_72dbc1d0c990,1.0,weak_position,1025,19.9,14,1
content_3a85fb54cd80,1.0,standard_review,7,7.5,8,1
content_4bb1a7b49efb,1.0,standard_review,79,8.5,20,1
content_cc39b850c02c,1.0,weak_position,9268,16.1,20,1
content_c54bea44135d,1.0,weak_position,1118,15.0,13,1
content_3294a331dd72,1.0,standard_review,1,5.0,8,1
content_1aa08950fe0d,1.0,standard_review,6,9.8,8,1
content_c4dad584949e,1.0,standard_review,26,7.8,8,1
content_c91d34d4c522,1.0,weak_position,4101,28.6,20,0
content_ea909ac4580c,1.0,standard_review,4,6.4,8,1
content_ad5736686512,1.0,standard_review,6,2.5,20,0
content_bb46eb54bc57,1.0,standard_review,76,6.0,104,1
content_187dc9d91ed0,1.0,standard_review,19,1.4,104,0
content_e8c1f6c1859e,1.0,standard_review,19,8.2,104,1
content_e6ae86be17f1,1.0,standard_review,7,5.0,104,1
content_fa0d6bab077f,1.0,standard_review,144,3.6,20,0
content_67cd4cdaeb45,1.0,standard_review,28,7.7,8,1
content_4995288adcef,1.0,standard_review,1,7.0,8,1
content_ef02e42aafe0,1.0,standard_review,3,7.0,8,1
content_6e6f5c5f7a06,1.0,standard_review,2,0.0,20,1
content_354bcbe06e09,1.0,standard_review,80,3.7,104,1
content_866a5947cd6e,1.0,standard_review,28,8.6,8,1
content_c27255ba9013,1.0,standard_review,1,5.0,8,1
content_a990d2a4b135,1.0,standard_review,34,6.2,104,1
content_4a75e66bc3a8,1.0,standard_review,1,5.0,8,1
content_64bc62ceef57,1.0,weak_position,72,13.1,20,1
content_93d5f1ac34c8,1.0,standard_review,1,8.0,8,0
content_2c62e3f7b08a,1.0,standard_review,10,10.5,8,1
content_55b3c6c65818,1.0,standard_review,994,7.5,20,0
content_3f87780cea1a,1.0,standard_review,78,8.4,20,1
content_300c70929b3f,1.0,weak_position,6,12.1,8,1
content_c3ddd2a3a284,1.0,weak_position,936,18.1,13,0
content_abd3c1630dd9,1.0,standard_review,67,7.0,8,1
content_5a051ddd8401,1.0,standard_review,18,8.2,20,0
content_9278ef59fcf2,1.0,weak_position,1568,24.1,20,0
content_7562ba6fd5a0,1.0,weak_position,184,13.3,20,1
content_51d04bff6a5e,1.0,weak_position,957,20.0,13,1
content_f91af4096042,1.0,standard_review,280,3.6,104,1
content_086db5b5b630,1.0,weak_position,4,15.5,8,1
content_2a3376a4e696,1.0,weak_position,187,15.7,20,1
content_fe4b3bf89a95,1.0,weak_position,9455,34.5,20,1
content_ff0639dd4a83,1.0,standard_review,35,9.2,8,1
content_15822f1838f6,1.0,standard_review,35,6.8,104,1
content_66868d96318e,1.0,standard_review,45,5.7,104,1
content_6540a09c04c2,1.0,standard_review,143,3.5,104,1
content_457e995c2191,1.0,standard_review,381,2.5,20,1
content_74bd6e435007,1.0,weak_position,72,26.1,104,1
content_0ff00aff22eb,1.0,weak_position,882,15.5,104,1
content_f4d712454d2f,1.0,standard_review,11,5.3,20,1
content_c26f81d804cc,1.0,weak_position,877,11.6,13,0
content_686750b32ae6,1.0,standard_review,622,2.6,104,1
content_3bc945fb11b1,1.0,weak_position,1649,21.8,20,1
content_78bc7e4b8a14,1.0,standard_review,1,8.0,8,0
content_acf1d5364432,0.99875,standard_review,2,7.7,8,1
content_bfd7a28142e0,0.99875,standard_review,109,3.1,20,0
content_8ff4e95a1d24,0.9983333333333334,standard_review,21,6.9,20,1
content_ef660c33264c,0.9983333333333333,standard_review,4,5.7,20,0
content_b48762a2c443,0.9975,standard_review,5,6.4,20,1
content_5392960cd936,0.9975,standard_review,4,6.0,8,1
content_88a2e9238054,0.9975,standard_review,634,1.0,20,1
content_c8a7958c9068,0.9975,standard_review,10,7.8,20,0
content_ffca1716a06b,0.9971428571428572,standard_review,134,1.0,20,1
content_a178dec7e550,0.99625,standard_review,3,5.8,8,0
content_072ab0531040,0.996,standard_review,1,9.3,8,0
content_3464adc98816,0.9958333333333332,standard_review,1,5.0,8,1
content_c00a56f387ba,0.9958333333333332,standard_review,1,5.0,8,1
content_5cf4e26bd3d8,0.9956944444444444,standard_review,2,1.0,20,1
content_185408f17384,0.995,weak_position,598,13.4,20,0
content_1732abdb8395,0.995,weak_position,6236,20.2,20,0
content_60e8eba31e41,0.995,weak_position,10199,37.3,20,1
content_bdeaad97cee5,0.995,weak_position,10419,37.3,20,1
content_70b162f85c8e,0.995,standard_review,18,8.6,8,1
content_1e6b4cfb915c,0.995,weak_position,17141,32.1,20,1
content_1b95f0f21543,0.995,standard_review,19,6.8,104,1
content_26cf459dc4a6,0.995,standard_review,5,6.8,8,1
content_8fd785bcf705,0.995,standard_review,450,7.4,20,1
content_4c8b45f3b4f0,0.995,weak_position,2233,24.5,20,1
content_126594d849b9,0.995,weak_position,2097,17.8,20,0
content_1d65dfa9f3fc,0.995,weak_position,738,15.8,20,1
content_2514cbcf6384,0.995,weak_position,1028,26.6,14,0
content_6c9ff52c211f,0.995,weak_position,294,16.0,104,0
content_0aa5afe2ec3d,0.995,standard_review,265,3.4,104,1
content_47c438bcd615,0.995,weak_position,962,14.9,20,1
content_3a764930904d,0.995,standard_review,944,2.5,20,1
content_2a12375a7402,0.995,standard_review,65,8.4,104,1
content_f29201903f9c,0.995,standard_review,10,6.8,8,1
content_8e75e642c497,0.995,weak_position,656,21.8,13,0
content_cf78de043d6f,0.995,standard_review,3,8.4,8,1
content_1ab62c6506fe,0.995,weak_position,534,28.0,20,1
content_98179e36b7d8,0.995,weak_position,7962,27.0,20,1
content_dadec10288e3,0.995,weak_position,12611,22.4,20,1
content_8b18f48e0c1c,0.995,standard_review,18,8.3,8,1
content_da6b6d134554,0.995,weak_position,304,16.9,20,1
content_9ee495414eb6,0.995,standard_review,27,6.6,20,1
content_febe6bc4e443,0.995,weak_position,6314,29.9,20,1
content_fcba4d8896c4,0.995,standard_review,59,7.1,8,1
content_b893116caf50,0.995,weak_position,955,18.7,13,0
content_6499b59bdc70,0.995,standard_review,540,9.3,14,1
content_29e340486da3,0.995,standard_review,74,8.0,20,1
content_ddb8818e356e,0.995,standard_review,4,6.4,8,1
content_178b0367d8f4,0.995,standard_review,409,8.1,89,1
content_e577de20808e,0.995,weak_position,3350,28.8,20,1
content_c09a11d9c224,0.995,weak_position,480,18.7,13,0
content_0cbf5c93e96e,0.995,standard_review,169,8.9,20,1
content_2e664c836308,0.995,standard_review,1115,3.2,20,1
content_3f29e7dc1465,0.995,standard_review,16,10.4,104,1
content_81641d8402ae,0.995,standard_review,3057,3.1,20,0
content_fe0701e51249,0.995,weak_position,4,16.4,8,1
content_580ec262b140,0.995,weak_position,2163,15.1,20,1
content_dd8adf884262,0.995,standard_review,54,3.8,104,1
content_b757b032fd7d,0.995,standard_review,74,8.2,20,1
content_27806249a156,0.995,standard_review,40,2.0,104,0
content_4bb993e9270e,0.995,standard_review,251,1.3,104,1
content_ef5196d96566,0.995,standard_review,59,4.0,104,1
content_1edfb8639267,0.995,weak_position,3828,28.8,20,0
content_991210e426c4,0.995,weak_position,9792,37.3,20,1
content_e6be4a754962,0.995,standard_review,54,6.8,8,1
content_7cfdc80d2f77,0.995,weak_position,247,15.6,104,0
content_dd9de99487ba,0.995,standard_review,11,4.6,8,1
content_4c570d0171fa,0.995,standard_review,6,9.8,8,1
content_28479e269858,0.995,weak_position,924,21.8,13,1
content_b7e307660e16,0.995,standard_review,5,5.1,20,1
content_f77db8686769,0.995,standard_review,3,7.0,8,1
content_cdf12b9d21e0,0.995,weak_position,968,13.3,13,0
content_a9a332a1c302,0.995,standard_review,192,6.9,104,1
content_21b12c78b5da,0.995,standard_review,54,10.6,8,1
content_22f4d2f58c42,0.995,weak_position,1,13.1,8,0
content_575564a123ab,0.995,standard_review,133,2.5,20,1
content_49397d7b56dd,0.995,standard_review,6,5.4,104,1
content_c6165461f85c,0.995,weak_position,6867,27.6,20,1
content_a51f20cffc18,0.995,standard_review,20,5.4,104,1
content_2df930dbde62,0.995,weak_position,9618,22.8,20,1
content_e7a2e37b6eff,0.995,weak_position,1011,16.4,14,1
content_e6cf793cdfe1,0.995,standard_review,6,5.4,104,1
content_9ef7f0adf8f0,0.995,standard_review,52,2.5,20,1
content_973754ecfb28,0.995,standard_review,5,6.0,104,1
content_88744e4bd22e,0.995,standard_review,10,8.4,20,1
content_0c2f28fb607f,0.995,weak_position,459,16.8,20,0
content_d1c95f78ee41,0.995,standard_review,410,5.4,20,0
content_4a4734826038,0.995,standard_review,163,6.1,20,1
content_8a9571c7cee1,0.995,standard_review,30,3.9,104,1
content_0fa0a2c60cf9,0.995,weak_position,909,19.2,14,1
content_b6425e927c1f,0.995,standard_review,47,7.9,104,1
content_914a6de7d899,0.995,standard_review,491,8.2,13,1
content_e0453ee0769a,0.995,weak_position,920,18.9,13,1
content_ee43ec7cc83b,0.995,weak_position,694,19.4,13,0
content_d3e299849775,0.995,standard_review,239,9.5,104,1
content_58f7da7d57fa,0.995,weak_position,1271,28.1,14,1
content_fd40fc33802e,0.995,weak_position,3,15.8,8,1
content_70252984654c,0.995,weak_position,1152,27.1,13,1
content_87a40acc3095,0.995,standard_review,93,7.8,20,1
content_150739fe3813,0.995,weak_position,2044,23.7,20,1
content_3d1c277aa7b9,0.995,standard_review,1,5.0,104,1
content_cf358d1c9b18,0.995,standard_review,1033,9.2,14,0
content_ec67429e4c4f,0.995,standard_review,3,6.7,8,1
content_c7fbdaf2f850,0.995,standard_review,160,3.9,104,1
content_8c7447df63f5,0.995,weak_position,106,13.8,104,0
content_02b318a901ea,0.995,weak_position,210,19.1,20,1
content_479217b91e31,0.995,weak_position,10,12.4,20,0
content_f14c84eb5c5e,0.995,standard_review,3,6.8,8,1
content_fb866148d629,0.995,weak_position,1281,16.1,14,1
content_587483517a58,0.995,standard_review,35,10.7,20,1
content_fcad17154309,0.995,standard_review,292,1.1,20,1
content_189586cf1186,0.995,weak_position,861,20.1,13,1
content_9ff56c1ee755,0.995,standard_review,3,6.7,8,1
content_64f14eaed432,0.995,weak_position,10605,37.3,20,1
content_da38cab56f25,0.995,standard_review,54,7.0,8,1
content_70de1a83ea63,0.995,standard_review,6,5.8,20,0
content_2892adcd8f92,0.995,standard_review,22,6.5,104,0
content_1c6e4f21be8f,0.995,standard_review,55,6.4,104,1
content_a7452d4e5f24,0.995,weak_position,4942,24.9,25,0
content_387c447c4e95,0.995,weak_position,2315,28.0,20,1
content_e927959ad107,0.995,standard_review,1,10.0,8,1
content_c90bfc85694f,0.995,standard_review,855,1.1,20,1
content_41cee3f1d369,0.995,standard_review,33,6.4,104,1
content_ed3cebd8dc66,0.995,standard_review,10,8.9,8,1
content_ffa00f2c389f,0.995,standard_review,29,6.0,104,1
content_63008ebe0712,0.995,weak_position,2055,23.2,20,1
content_f73c677f90e7,0.995,standard_review,10,8.4,8,0
content_6893bcc34e2d,0.995,standard_review,20,6.6,20,0
content_8875af2af61d,0.995,standard_review,217,3.4,104,1
content_e1fc34183550,0.995,weak_position,36,14.9,8,0
content_f552433bab3c,0.995,standard_review,271,1.8,104,1
content_987cec01883e,0.995,standard_review,6,7.0,8,0
content_739b312ae914,0.995,weak_position,1068,20.6,13,0
content_af0cb40d806f,0.995,standard_review,595,2.6,104,1
content_41ba077972d9,0.995,standard_review,1,7.3,8,0
content_7a6cb4857fe6,0.995,standard_review,481,1.6,20,1
content_1ba63728d50e,0.995,weak_position,11,12.2,8,1
content_282e4ddcc4ae,0.995,standard_review,374,5.8,20,1
content_31ffbee079ec,0.995,weak_position,31,12.1,104,0
content_d86be00d801c,0.995,weak_position,1031,22.1,14,0
content_5b79dd41b3f5,0.995,weak_position,320,15.9,20,1
content_6021c5056fa0,0.995,standard_review,56,9.3,8,1
content_9abd76d902c3,0.995,weak_position,742,20.8,13,0
content_62e38b517714,0.995,standard_review,335,7.2,104,0
content_2c860a2509ec,0.995,standard_review,556,2.6,20,0
content_bc05c13ea255,0.995,standard_review,47,6.3,104,1
content_5cde5b639240,0.9941666666666665,standard_review,26,3.5,104,1
content_23c9ece5d7a8,0.9941666666666665,standard_review,27,3.9,104,1
content_49c62944f4bd,0.99375,standard_review,5,6.3,20,1
content_105cfbe62a95,0.9933333333333334,standard_review,1,8.0,20,0
content_3d8327fa7935,0.9933333333333334,standard_review,31,6.1,104,1
content_66d1531bf8b7,0.9933333333333334,standard_review,1,8.0,20,1
content_bc2a27c3f732,0.9933333333333334,standard_review,1,8.0,20,0
content_4116143b6c21,0.9933333333333334,standard_review,1,8.0,20,0
content_98cdf28056d9,0.9933333333333333,standard_review,5,6.5,104,0
content_0f61fd99d0c9,0.9933333333333333,standard_review,9,7.9,20,0
content_0935eb70bb37,0.9916666666666666,standard_review,16,7.1,20,0
content_8d8fda6bc171,0.9916666666666666,standard_review,26,6.4,104,1
content_101ecdbccedc,0.99125,standard_review,2,5.6,20,0
content_c7da8834e84f,0.99125,standard_review,2,5.6,20,0
content_7b06c3ec3b03,0.9908333333333332,standard_review,31,4.4,104,1
content_1bdb89a775d6,0.9904166666666666,standard_review,14,4.9,20,1
content_1cfcbdddefaa,0.99,weak_position,408,21.3,20,0
content_9e6c26757e7b,0.99,standard_review,277,2.9,104,1
content_e0ebec22286f,0.99,standard_review,3,7.0,8,1
content_2b8d13454c7f,0.99,standard_review,659,2.9,20,0
content_630136406522,0.99,standard_review,497,10.0,13,1
content_62d1c8c930d1,0.99,standard_review,895,9.5,13,0
content_57e6cbc08469,0.99,standard_review,822,3.4,20,1
content_9fe2d1a62916,0.99,weak_position,15,12.9,8,1
content_2ffa4b556dc3,0.99,weak_position,858,16.5,13,0
content_8e2bf9bf9ad5,0.99,weak_position,4,15.1,8,1
content_6da534a42e92,0.99,standard_review,3,7.0,8,1
content_6383ca5adafb,0.99,weak_position,491,27.9,14,0
content_a999fa415a3f,0.99,standard_review,462,2.1,104,0
content_95853023944a,0.99,weak_position,73,28.8,20,0
content_74e5927a9ac1,0.99,weak_position,3825,25.3,25,0
content_567fa7db5bdf,0.99,standard_review,269,2.9,104,1
content_b2c7c85e60fc,0.99,weak_position,21502,16.9,20,0
content_27441bff4885,0.99,weak_position,2471,19.2,20,1
content_e0127bfa31e5,0.99,standard_review,17,7.4,20,0
content_bbe814c133ff,0.99,weak_position,656,19.7,13,0
content_6202c6261f49,0.99,standard_review,3400,2.3,20,1
content_32f3f365f9d5,0.99,weak_position,847,17.6,14,0
content_118ce9aa01e7,0.99,weak_position,5418,27.6,20,1
content_f26e8a77aea8,0.99,standard_review,603,3.0,20,1
content_4182853d792c,0.99,standard_review,937,11.2,20,1
content_785966208f94,0.99,standard_review,355,9.2,20,1
content_c793d91da3ba,0.99,weak_position,493,22.4,104,1
content_2859418b01d8,0.99,standard_review,67,4.1,104,0
content_471caa66d791,0.99,standard_review,18,8.2,92,1
content_050b3c528b0a,0.99,weak_position,85,20.3,104,1
content_f6e0aa532239,0.99,weak_position,635,18.5,14,1
content_a9b2194906e4,0.99,standard_review,831,7.8,104,0
content_51761c4f95a3,0.99,weak_position,2593,30.4,14,0
content_68dee4cef047,0.99,weak_position,2442,27.7,20,1
content_41ffdf98a18e,0.99,standard_review,87,9.5,8,1
content_421272323961,0.99,standard_review,4,9.3,8,1
content_9aad50bc4523,0.99,weak_position,985,27.2,13,1
content_9e3816a4198e,0.99,standard_review,464,10.6,13,0
content_2560766fc02b,0.99,weak_position,1280,22.3,14,0
content_3e274426ccca,0.99,standard_review,997,11.2,13,1
content_f890d20292b1,0.99,standard_review,472,6.3,20,1
content_c2f5a15e354c,0.99,standard_review,342,6.9,104,0
content_b5c4224767fc,0.99,weak_position,10671,34.3,20,1
content_bf8a8186785c,0.99,standard_review,497,3.7,104,1
content_1664ee5ccac8,0.99,standard_review,388,6.1,20,0
content_6df62d4ed544,0.99,standard_review,310,7.9,104,1
content_7a835d05623c,0.99,standard_review,261,1.9,104,1
content_7205560591f9,0.99,weak_position,846,17.6,13,1
content_f9d97ada81f1,0.99,standard_review,91,3.5,20,0
content_ec52084b3141,0.99,weak_position,738,15.8,20,1
content_5d35ba0463a2,0.99,weak_position,10,13.6,20,0
content_8ac7c6a503d5,0.99,weak_position,643,16.9,14,1
content_60b799ef98ae,0.99,standard_review,9,9.2,8,1
content_fde14d5b0b8f,0.99,standard_review,1163,9.0,13,0
content_d0c78a3bd076,0.99,weak_position,5584,23.1,20,0
content_6e6837f4afe6,0.99,weak_position,143,22.8,20,0
content_17ca7a51731c,0.99,weak_position,5026,18.7,25,0
content_9ed5f2efa247,0.99,standard_review,34,7.6,20,1
content_c567607d2989,0.99,weak_position,895,22.8,13,0
content_db882e768405,0.99,standard_review,3,4.5,8,1
content_4c2aae7232ac,0.99,standard_review,78,3.0,104,1
content_15e922d2d8a0,0.99,weak_position,1176,28.2,13,1
content_dbaec841d4cf,0.99,standard_review,266,8.2,13,0
content_3025cbd08dc0,0.99,standard_review,63,9.1,8,1
content_c8630f323532,0.99,weak_position,61,23.9,104,0
content_f7c50b7fee53,0.99,standard_review,287,2.9,104,1
content_5cccaf0686bd,0.99,weak_position,433,20.8,20,1
content_6987785de78f,0.99,standard_review,2,6.7,20,1
content_aab29a0db2b5,0.99,weak_position,81,26.3,104,1
content_ad0d7f127516,0.99,standard_review,1021,8.9,13,0
content_914ac4179d4e,0.99,weak_position,1321,24.4,20,0
content_96448d6b2c9f,0.99,weak_position,3,11.5,8,0
content_90e855751509,0.99,weak_position,701,18.0,13,1
content_711c23a1d649,0.99,weak_position,421,11.9,20,0
content_5d5d0256fabb,0.99,standard_review,8,6.5,104,1
content_6f39f7db3a44,0.99,standard_review,56,7.9,8,1
content_53419bfdba55,0.99,weak_position,122,12.4,20,1
content_69db4dab53e2,0.99,weak_position,198,13.8,104,1
content_5f6edfae0e40,0.99,weak_position,193,18.9,20,0
content_7aded25a6fae,0.99,standard_review,2462,3.0,20,0
content_1de717df21b3,0.99,standard_review,69,6.5,20,1
content_198bc46d31f5,0.99,standard_review,129,3.3,104,0
content_32bc26504999,0.99,weak_position,347,24.1,20,0
content_0d2caacb67c3,0.99,standard_review,411,8.5,104,0
content_2616aae60ea8,0.99,standard_review,156,8.0,104,1
content_43d25a231bd9,0.99,weak_position,226,32.1,20,0
content_3bb23afaf34e,0.99,weak_position,617,15.4,20,0
content_d65422d986c6,0.99,weak_position,386,25.1,20,0
content_7d1dcfd354f5,0.99,weak_position,9715,36.4,20,1
content_c8b0f28d2c4e,0.99,standard_review,112,5.9,20,1
content_0dbb45b8bb50,0.99,standard_review,122,11.3,20,0
content_76c0dda8c65f,0.99,standard_review,2,10.8,8,0
content_afa114dc512c,0.99,standard_review,2944,2.2,20,1
content_1c65c7696eaf,0.99,standard_review,64,5.8,104,0
content_34310d33202a,0.99,standard_review,19,6.7,20,0
content_0fd360ab9067,0.99,standard_review,615,5.8,20,0
content_ef811dc26da7,0.99,standard_review,8,7.2,20,1
content_42cb3441f18d,0.99,weak_position,851,18.4,14,1
content_38c564400f65,0.99,weak_position,928,22.1,13,1
content_f9f6d07ef81e,0.99,weak_position,3830,25.8,25,0
content_e6b986a0c054,0.99,weak_position,328,24.4,20,0
content_e2a573f2180b,0.99,weak_position,859,20.3,13,0
content_0f0f860341c6,0.99,standard_review,85,7.1,20,0
content_490978694374,0.99,weak_position,636,21.6,13,1
content_c4432c324dc6,0.99,standard_review,456,2.7,20,0
content_b91726585c12,0.99,standard_review,82,6.2,20,0
content_b0b3587234a9,0.99,weak_position,6,16.4,8,1
content_14f02f6b2395,0.99,standard_review,161,3.9,104,1
content_69deabcc81b5,0.99,standard_review,188,4.5,104,1
content_b77fa82a63b8,0.99,weak_position,1185,18.0,14,1
content_fa654994bcce,0.99,weak_position,1874,23.9,20,1
content_b0eab1411776,0.99,weak_position,208,13.4,104,0
content_67321343a556,0.99,standard_review,11,4.9,8,1
content_0aebd2a400b2,0.99,standard_review,282,7.1,20,0
content_25b253f349af,0.99,standard_review,226,7.6,20,0
content_68f2672b50cd,0.99,standard_review,187,3.5,104,1
content_c6fb169d067c,0.99,standard_review,23,9.2,8,0
content_69a47932f76f,0.99,standard_review,3,7.9,8,0
content_e0cf84281b49,0.99,standard_review,1029,2.4,20,1
content_5a41f5bbd3b2,0.99,weak_position,365,17.2,104,1
content_5d6debd7b6e1,0.99,standard_review,394,9.9,20,1
content_9aac6f2de8c0,0.99,standard_review,25,7.0,104,1
content_d8b9e818c1b9,0.99,standard_review,5,7.4,8,1
content_b5c3a038ee4b,0.99,weak_position,2,13.5,8,0
content_d020d42e7fcc,0.99,standard_review,9,2.1,20,0
content_1e1df0405fd7,0.99,weak_position,9281,37.1,20,1
content_5d5f645e0162,0.99,standard_review,343,11.4,20,1
content_78555c97f084,0.99,weak_position,1352,28.4,14,1
content_e149170241a5,0.99,standard_review,191,3.3,20,0
content_adbb688a2223,0.99,weak_position,1327,15.3,14,0
content_7186315f81a2,0.99,standard_review,28,11.0,20,0
content_b4bc63f55dbd,0.99,standard_review,486,4.4,8,0
content_63cd028a4982,0.99,weak_position,14967,31.5,20,1
content_fe38dbdb4508,0.99,weak_position,749,26.8,13,1
content_14b6d37d9577,0.99,weak_position,10355,33.9,20,1
content_4c17a0b47c68,0.99,weak_position,889,20.3,13,0
content_bd823d21e6a4,0.99,standard_review,85,2.1,104,1
content_3a79246fe3ce,0.99,standard_review,72,3.5,20,1
content_929e148374a8,0.99,standard_review,6289,10.7,20,1
content_afabd7346730,0.99,standard_review,265,3.7,104,1
content_e6cabfb74494,0.99,weak_position,1327,14.8,20,1
content_b06d8cba94ad,0.99,standard_review,10,5.3,20,1
content_fa9dfdbc51b5,0.99,standard_review,18,7.8,8,1
content_dd4a93b6de7e,0.99,weak_position,2340,38.0,20,1
content_898ebf2b2ffa,0.99,weak_position,1927,29.2,20,1
content_aa0f02bc9178,0.99,standard_review,390,1.3,20,1
content_a3af7b3808c4,0.9891666666666667,standard_review,4,2.8,20,1
content_403268d62db3,0.9883333333333334,standard_review,5,2.8,20,1
content_af53fc2a23c3,0.9883333333333334,standard_review,4,3.0,20,0
content_d2e655334ee2,0.9875,standard_review,4,2.6,20,1
content_484c921cf398,0.9875,standard_review,6,6.9,20,0
content_91f4df9a508f,0.987,standard_review,132,3.6,104,1
content_d96b7987b7c0,0.9866666666666667,standard_review,49,9.5,8,1
content_10cc6a7e6155,0.9866666666666667,standard_review,5,5.0,8,0
content_2d67f23c1a48,0.9865,standard_review,2,6.3,20,0
content_a0777b0fd936,0.98625,weak_position,1102,19.7,8,0
content_1c19b0d3f7d0,0.9862499999999998,standard_review,3,5.8,20,0
content_1e5b3a2ba843,0.9858333333333333,standard_review,144,2.4,20,0
content_76872f72fde2,0.985,weak_position,1325,14.2,20,1
content_905b3fda18c9,0.985,standard_review,815,7.3,20,1
content_ee6c6b09c17d,0.985,standard_review,195,2.8,20,1
content_e4972ca56b3e,0.985,standard_review,1,7.0,104,1
content_3c2ef1901bee,0.985,weak_position,978,17.1,14,0
content_7f6bc8a99e30,0.985,standard_review,73,4.6,104,1
content_21c195acbc1c,0.985,weak_position,1,12.0,8,1
content_cead18006a4d,0.985,weak_position,463,17.4,13,1
content_5083a1261e84,0.985,weak_position,303,17.4,104,1
content_cc33d8db197f,0.985,weak_position,10672,25.1,20,1
content_5284947752fb,0.985,standard_review,190,2.5,20,1
content_355a734d17c3,0.985,standard_review,1029,4.8,104,0
content_8e514460a172,0.985,weak_position,2075,30.3,20,1
content_9178a48f8042,0.985,standard_review,365,6.5,8,0
content_5d91fda8e0ab,0.985,weak_position,3000,28.2,20,1
content_4930a9d30d9f,0.985,standard_review,339,7.0,104,1
content_21963a7d58d2,0.985,weak_position,26566,27.0,20,1
content_5a9eed16e004,0.985,standard_review,405,9.5,20,1
